TSN,Interchange Name,Total Spaces (car + motorcycle spaces) 
233610,Aberdeen,5
228920,Adamstown,20
252710,Albion Park,76
222020,Allawah,0
220520,Arncliffe,65
206410,Artarmon,0
213110,Ashfield,237
207730,Asquith,62
214410,Auburn,0
251540,Austinmer,47
228310,Awaba,12
221610,Banksia,0
220010,Bankstown,61
220710,Bardwell Park,121
257420,Bargo,19
279538,Bathurst ,24
211910,Beecroft,162
278620,Bell,0
251810,Bellambi,33
219210,Belmore,61
214120,Berala,2
232230,Beresfield,16
208110,Berowra,289
253510,Berry,28
220910,Beverly Hills,0
220720,Bexley North,61
214320,Birrong,18
278510,Blackheath,21
214810,Blacktown,610
277410,Blaxland,105
254110,Bomaderry (Nowra),71
253320,Bombo,10
202210,Bondi Junction,23
228410,Booragul,9
257610,Bowral,140
233510,Branxton,10
229210,Broadmeadow,69
278410,Bullaburra,0
251610,Bulli,57
257810,Bundanoon,0
257620,Burradoo,0
213410,Burwood,0
216620,Cabramatta,77
214210,Camellia,32
256020,Campbelltown,1121
219410,Campsie,2
216610,Canley Vale,181
219320,Canterbury,0
228520,Cardiff,49
222910,Caringbah,0
211810,Carlingford,20
221810,Carlton,49
216330,Carramar,69
217030,Casula,23
200060,Central,107
206710,Chatswood,33
211920,Cheltenham,11
216220,Chester Hill,144
200020,Circular Quay,219
230010,Civic,0
275630,Clarendon,15
214230,Clyde,0
250850,Coalcliff,2
228430,Cockle Creek,15
251530,Coledale,0
222610,Como,62
213810,Concord West,0
250030,Coniston,17
251820,Corrimal,49
208120,Cowan,15
250520,Cringila,17
223020,Cronulla,28
213210,Croydon,0
253020,Dapto,290
211410,Denistone,40
202020,Domestic Airport,0
276710,Doonside,116
226420,Dora Creek,69
256910,Douglas Park,0
220310,Dulwich Hill,56
211720,Dundas,51
242010,Dungog,21
252910,Dunmore (Shellharbour),0
221320,East Hills,76
232330,East Maitland,21
275310,East Richmond,57
212210,Eastwood,65
202710,Edgecliff,0
217426,Edmondson park,468
275020,Emu Plains,795
223310,Engadine,185
212110,Epping,0
204310,Erskineville,0
257930,Exeter,11
216510,Fairfield,315
251910,Fairy Meadow,40
228330,Fassifern,160
277610,Faulconbridge,46
214020,Flemington,0
253420,Gerringong,9
277310,Glenbrook,136
216710,Glenfield,923
207210,Gordon,350
225040,Gosford,1258
258010,Goulburn,51
214240,Granville,104
201710,Green Square,0
233410,Greta,6
216110,Guildford,0
222710,Gymea,0
230310,Hamilton,0
215010,Harris Park,0
208310,Hawkesbury River,54
277910,Hazelbrook,70
223320,Heathcote,132
250810,Helensburgh,147
232210,Hexham,16
232010,High Street,20
242040,Hilldale,0
217310,Holsworthy,1671
214010,Homebush,1
207720,Hornsby,475
219310,Hurlstone Park,0
222010,Hurstville,10
256510,Ingleburn,134
2020101,International Airport,0
222620,Jannali,186
278020,Katoomba,91
253010,Kembla Grange Racecourse,30
253330,Kiama,89
207110,Killara,86
201110,Kings Cross,0
220810,Kingsgrove,51
274720,Kingswood,265
223230,Kirrawee,116
221710,Kogarah,436
225620,Koolewong,35
228910,Kotara,0
219510,Lakemba,178
275030,Lapstone,34
278310,Lawson,34
216310,Leightonfield,18
217933,Leppington,872
256010,Leumeah,796
278010,Leura,19
204920,Lewisham,0
214110,Lidcombe,8
277820,Linden,0
207010,Lindfield,3
225070,Lisarow,28
279010,Lithgow,18
217020,Liverpool,103
232110,Lochinvar,5
223220,Loftus,113
250510,Lysaghts,0
256030,Macarthur,696
201520,Macdonaldtown,0
256410,Macquarie Fields,98
211340,Macquarie Park,0
211310,Macquarie University,0
232020,Maitland,109
214820,Marayong,178
220410,Marrickville,1
200030,Martin Place,0
242050,Martins Creek,0
257940,Marulan,0
202010,Mascot,9
211430,Meadowbank,26
278030,Medlow Bath,0
256810,Menangle,0
256310,Menangle Park,110
216010,Merrylands,313
232310,Metford,50
206110,Milsons Point,0
232050,Mindaribba,0
253310,Minnamurra,0
256610,Minto,587
222810,Miranda,58
257510,Mittagong,55
226410,Morisset,281
222310,Mortdale,25
257710,Moss Vale,106
207910,Mount Colah,25
277010,Mount Druitt,623
208010,Mount Kuring-gai,0
278610,Mount Victoria,61
275610,Mulgrave,147
200040,Museum,0
233310,Muswellbrook,18
