Location Name,Suburb,Latitude,Longitude,TSN
Zig Zag Station,Clarence,-33.4718103,150.202088,278630
Young Coach Stop,Young,-34.311437,148.297143,25941
Yetholme Coach Stop,Yetholme,-33.446496,149.829108,279512
Yerrinbool Station,Yerrinbool,-34.37174006,150.5434957,257540
Yerong Creek Coach Stop,Yerong,-35.387249,147.058092,264216
Yennora Station,Yennora,-33.8647184,150.9710073,216120
Yenda Coach Stop,Yenda,-34.250153,146.195033,26811
Yass Town Coach Stop,Yass,-34.839966,148.910809,25826
Yass Junction Station,Yass,-34.808995,148.915387,25821
Yarrowyck Coach Stop,Yarrowyck,-30.475743,151.376383,235821
Yarrabandai Coach Stop,Yarrabandai,-33.128795,147.576893,28751
Yanco Coach Stop,Yanco,-34.60399,146.409827,27032
Yamba West Coach Stop,Yamba,-29.429468,153.326484,246438
Yamba Coach Stop,Yamba,-29.438237,153.35663,24641
Yagoona Station,Yagoona,-33.90655337,151.0241519,219910
Wyong Station,Wyong,-33.28547923,151.4252562,225920
Wynyard Station,Sydney,-33.86589799,151.2057893,200080
Wyee Station,Wyee,-33.18044789,151.4871198,225940
Wyalong Coach Stop,Wyalong,-33.925711,147.242402,26713
Woy Woy Station,Woy,-33.48511249,151.3236239,225610
Woonona Station,Woonona,-34.35023047,150.9149538,251710
Woombah Coach Stop,Woombah,-29.360244,153.282359,246913
Woolwich Wharf,Woolwich,-33.83875627,151.1760428,211099
Woolooware Station,Woolooware,-34.04771809,151.1439953,223010
Woodstock Coach Stop,Woodstock,-33.743846,148.84842,27931
Woodford Station,Woodford,-33.73544928,150.4819174,277810
Woodburn Coach Stop (southbound),Woodburn,-29.071268,153.344859,24724
Woodburn Coach Stop (northbound),Woodburn,-29.071317,153.343813,24723
Wondalga Coach Stop,Wondalga,-35.408567,148.121105,272922
Wondabyne Station,Wondabyne,-33.49213536,151.2570108,225010
Wombarra Station,Wombarra,-34.27593294,150.953145,251520
Wolumla Coach Stop,Wolumla,-36.829958,149.813349,25502
Wollstonecraft Station,Wollstonecraft,-33.83179487,151.191895,206510
Wollongong Station,Wollongong,-34.42701617,150.8882431,250020
Wollongbar Coach Stop,Wollongbar,-28.825911,153.415019,24773
Wolli Creek Station,Wolli,-33.92854683,151.1541132,220510
Wirragulla Station,Wirragulla,-32.4617735,151.743457,242030
Wingham Town Coach Stop,Wingham,-31.869226,152.374623,24294
Wingham Station,Wingham,-31.86809,152.367636,24291
Wingello Station,Wingello,-34.69218018,150.1583854,257910
Windsor Station,Windsor,-33.61392767,150.811408,275620
Willow Tree Town Coach Stop (southbound),Willow,-31.648968,150.726361,233912
Willow Tree Town Coach Stop (northbound),Willow,-31.648968,150.726361,233913
Willow Tree Station,Willow,-31.650065,150.726123,23391
Wiley Park Station,Wiley,-33.92300854,151.0672762,219520
Wilcannia Coach Stop,Wilcannia,-31.558417,143.37759,28363
Whitton Coach Stop,Whitton,-34.51791,146.183194,27052
