SSC (UR),20-59years
Aarons Pass,14
Abbotsbury,2449
Abbotsford (NSW),2808
Abercrombie,581
Abercrombie River,18
Aberdare,1283
Aberdeen (NSW),1046
Aberfoyle,46
Aberglasslyn,2996
Abermain,1245
Abernethy,180
Abington (NSW),4
Acacia Creek,21
Acacia Gardens,2263
Adaminaby,133
Adamstown,3512
Adamstown Heights,2533
Adelong,416
Adjungbilly,40
Afterlee,22
Agnes Banks,476
Airds,1384
Akolele,81
Albert,38
Albion Park,7001
Albion Park Rail,3470
Albury,2411
Aldavilla,815
Alectown,86
Alexandria,6535
Alfords Point,1775
Alfredtown,61
Alice,5
Alison (Central Coast - NSW),45
Alison (Dungog - NSW),34
Allambie Heights,3314
Allandale (NSW),40
Allawah,3616
Alleena,23
Allgomera,69
Allworth,80
Allynbrook,31
Alma Park,26
Alpine,62
Alstonvale,212
Alstonville,2291
Alumy Creek,40
Amaroo (NSW),20
Ambarvale,3950
Amosfield,7
Anabranch North,4
Anabranch South,21
Anambah,23
Ando,35
Anembo,33
Angledale,76
Angledool,29
Anglers Reach,28
Angourie,102
Anna Bay,1735
Annandale (NSW),5999
Annangrove,722
Appin (NSW),1466
Apple Tree Flat,19
Appleby,23
Appletree Flat,4
Apsley (NSW),39
Arable,7
Arakoon,187
Araluen (NSW),81
Aratula (NSW),0
Arcadia (NSW),666
Arcadia Vale,697
Ardglen,30
Arding,78
Ardlethan,218
Argalong,15
Argenton,701
Argents Hill,104
Argoon (NSW),6
Ariah Park,192
Arkell,17
Arkstone,7
Armatree,69
Armidale,12104
Arncliffe,6535
Arndell Park,15
Arrawarra,122
Arrawarra Headland,267
Artarmon,5907
Arthurville,16
Arumpo,22
Ashbury,1689
Ashby (NSW),132
Ashby Heights,119
Ashby Island,10
Ashcroft,1847
Ashfield (NSW),15522
Ashford (NSW),269
Ashley,203
Ashmont,1863
Ashtonfield,2442
Asquith,1735
Atholwood,34
Attunga,286
Auburn (NSW),23383
Auburn Vale,56
Austinmer,1298
Austral,1459
Austral Eden,79
Avalon Beach,4727
Avisford,13
Avoca (NSW),80
Avoca Beach,2250
Avon (NSW),0
Avondale (NSW),897
Avonside,62
Awaba,214
Aylmerton,102
Baan Baa,84
Babinda (NSW),0
Babyl Creek,8
Back Creek (Bland - NSW),32
Back Creek (Gwydir - NSW),6
Back Creek (Mid-Coast - NSW),3
Back Creek (Queanbeyan-Palerang Regional - NSW),10
Back Creek (Tenterfield - NSW),3
Back Creek (Tweed - NSW),11
Back Forest,45
Backmede,62
Backwater,6
Badgerys Creek,110
Badja,0
Baerami,28
Baerami Creek,28
Bagnoo,16
Bago,15
Bagotville,22
Bakers Creek (Mid-Coast - NSW),19
Bakers Creek (Nambucca - NSW),10
Bakers Creek (Uralla - NSW),5
Bakers Swamp,18
Balaclava (NSW),259
Balala,61
Balcolyn,455
Bald Blair,19
Bald Hills (NSW),116
Bald Nob,4
Bald Ridge,3
Baldersleigh,25
Baldry,38
Balfours Peak,15
Balgowlah,4333
Balgowlah Heights,1574
Balgownie,2695
Balickera,9
Balladoran,51
Ballalaba,7
Balldale,59
Ballengarra,45
Ballimore,96
Ballina,3540
Ballyroe,5
Balmain,6315
Balmain East,1099
Balmoral (Lake Macquarie - NSW),368
Balmoral (Wingecarribee - NSW),242
Balranald,630
Bamarang,12
Banda Banda,0
Bandon Grove,55
Bangadang,3
Bangalee (NSW),291
Bangalow,1011
Bangheet,20
Bango,49
Bangor (NSW),2748
Banksia,1881
Banksmeadow,14
Bankstown,18204
Bankstown Aerodrome,0
Bannaby,13
Bannister (NSW),56
Banoon,9
Banora Point,6673
Banyabba,23
Bar Beach,798
Bar Point,32
Bara,10
Baradine,317
Barangaroo,152
Barcoongere,0
Barden Ridge,2421
Bardia,991
Bardwell Park,1209
Bardwell Valley,1203
Barellan,244
Bargo,2162
Barham,573
Barigan,3
Barkers Vale,83
Barmedman,211
Barneys Reef,0
Barnsley,959
Barooga,821
Barraba,547
Barrack Heights,2961
Barrack Point,324
Barraganyatti,62
Barragga Bay,46
Barratta (NSW),3
Barren Grounds,0
Barrengarry,89
Barretts Creek,4
Barringella,12
Barrington (NSW),142
