SSC (UR),Public Transport,Vehicle,Active Transport,Other Mode,Worked at home or Did not go to work,Mode not stated,Not applicable,Total
Aarons Pass,0,6,0,0,9,0,7,20
Abbotsbury,224,1812,13,4,223,24,1950,4251
Abbotsford (NSW),595,1606,61,21,366,12,2716,5377
Abercrombie,3,476,4,5,72,0,539,1111
Abercrombie River,0,3,3,0,3,0,11,23
Aberdare,11,742,16,0,162,12,1524,2471
Aberdeen (NSW),6,703,23,0,155,11,1181,2088
Aberfoyle,0,24,0,5,23,0,44,101
Aberglasslyn,31,2207,15,13,410,19,2703,5403
Abermain,11,783,12,0,135,20,1377,2336
Abernethy,0,102,3,0,13,0,230,345
Abington (NSW),0,5,0,0,3,0,4,15
Acacia Creek,0,13,0,0,8,0,21,37
Acacia Gardens,419,1424,16,9,180,24,1729,3799
Adaminaby,0,85,21,7,24,0,165,305
Adamstown,136,2371,129,18,430,34,2937,6046
Adamstown Heights,78,1931,92,14,389,20,2776,5295
Adelong,0,317,8,0,48,0,568,944
Adjungbilly,0,24,6,0,11,0,42,86
Afterlee,0,11,0,0,0,0,31,47
Agnes Banks,22,351,16,0,68,6,451,911
Airds,85,338,6,6,56,22,2404,2927
Akolele,0,25,0,0,4,0,143,168
Albert,0,16,0,0,21,0,42,82
Albion Park,167,5204,75,22,834,37,6974,13319
Albion Park Rail,113,2337,30,19,382,27,4009,6918
Albury,33,1621,267,13,348,10,2515,4802
Aldavilla,6,249,4,0,49,3,918,1226
Alectown,0,44,4,0,32,0,89,170
Alexandria,2312,1901,801,37,580,35,2595,8264
Alfords Point,255,1314,8,4,197,10,1315,3112
Alfredtown,0,36,7,0,21,0,47,109
Alice,0,0,0,0,0,0,6,6
Alison (Central Coast - NSW),0,36,0,0,3,0,50,95
Alison (Dungog - NSW),0,20,0,0,8,0,44,78
Allambie Heights,585,2033,151,21,555,43,3631,7006
Allandale (NSW),0,29,5,0,7,0,29,74
Allawah,1191,1361,75,11,277,21,2774,5710
Alleena,0,8,0,0,11,0,35,56
Allgomera,0,41,0,0,8,0,82,132
Allworth,0,60,0,0,9,0,92,168
Allynbrook,0,23,4,0,14,0,31,67
Alma Park,0,17,0,0,10,0,29,55
Alpine,0,55,0,0,13,0,71,141
